,index,species,island,culmen_length,culmen_depth,flipper_length,body_mass,sex
0,0,Adelie,Torgersen,39.1,18.7,181.0,3750.0,MALE
1,1,Adelie,Torgersen,39.5,17.4,186.0,3800.0,FEMALE
2,2,Adelie,Torgersen,40.3,18.0,195.0,3250.0,FEMALE
4,4,Adelie,Torgersen,36.7,19.3,193.0,3450.0,FEMALE
5,5,Adelie,Torgersen,39.3,20.6,190.0,3650.0,MALE
6,6,Adelie,Torgersen,38.9,17.8,181.0,3625.0,FEMALE
7,7,Adelie,Torgersen,39.2,19.6,195.0,4675.0,MALE
8,8,Adelie,Torgersen,34.1,18.1,193.0,3475.0,FEMALE
9,9,Adelie,Torgersen,42.0,20.2,190.0,4250.0,MALE
10,10,Adelie,Torgersen,37.8,17.1,186.0,3300.0,FEMALE
11,11,Adelie,Torgersen,37.8,17.3,180.0,3700.0,FEMALE
12,12,Adelie,Torgersen,41.1,17.6,182.0,3200.0,FEMALE
13,13,Adelie,Torgersen,38.6,21.2,191.0,3800.0,MALE
14,14,Adelie,Torgersen,34.6,21.1,198.0,4400.0,MALE
15,15,Adelie,Torgersen,36.6,17.8,185.0,3700.0,FEMALE
16,16,Adelie,Torgersen,38.7,19.0,195.0,3450.0,FEMALE
17,17,Adelie,Torgersen,42.5,20.7,197.0,4500.0,MALE
18,18,Adelie,Torgersen,34.4,18.4,184.0,3325.0,FEMALE
19,19,Adelie,Torgersen,46.0,21.5,194.0,4200.0,MALE
20,20,Adelie,Biscoe,37.8,18.3,174.0,3400.0,FEMALE
21,21,Adelie,Biscoe,37.7,18.7,180.0,3600.0,MALE
22,22,Adelie,Biscoe,35.9,19.2,189.0,3800.0,FEMALE
23,23,Adelie,Biscoe,38.2,18.1,185.0,3950.0,MALE
24,24,Adelie,Biscoe,38.8,17.2,180.0,3800.0,MALE
25,25,Adelie,Biscoe,35.3,18.9,187.0,3800.0,FEMALE
26,26,Adelie,Biscoe,40.6,18.6,183.0,3550.0,MALE
27,27,Adelie,Biscoe,40.5,17.9,187.0,3200.0,FEMALE
28,28,Adelie,Biscoe,37.9,18.6,172.0,3150.0,FEMALE
29,29,Adelie,Biscoe,40.5,18.9,180.0,3950.0,MALE
30,30,Adelie,Dream,39.5,16.7,178.0,3250.0,FEMALE
31,31,Adelie,Dream,37.2,18.1,178.0,3900.0,MALE
32,32,Adelie,Dream,39.5,17.8,188.0,3300.0,FEMALE
33,33,Adelie,Dream,40.9,18.9,184.0,3900.0,MALE
34,34,Adelie,Dream,36.4,17.0,195.0,3325.0,FEMALE
35,35,Adelie,Dream,39.2,21.1,196.0,4150.0,MALE
36,36,Adelie,Dream,38.8,20.0,190.0,3950.0,MALE
37,37,Adelie,Dream,42.2,18.5,180.0,3550.0,FEMALE
38,38,Adelie,Dream,37.6,19.3,181.0,3300.0,FEMALE
39,39,Adelie,Dream,39.8,19.1,184.0,4650.0,MALE
40,40,Adelie,Dream,36.5,18.0,182.0,3150.0,FEMALE
41,41,Adelie,Dream,40.8,18.4,195.0,3900.0,MALE
42,42,Adelie,Dream,36.0,18.5,186.0,3100.0,FEMALE
43,43,Adelie,Dream,44.1,19.7,196.0,4400.0,MALE
44,44,Adelie,Dream,37.0,16.9,185.0,3000.0,FEMALE
45,45,Adelie,Dream,39.6,18.8,190.0,4600.0,MALE
46,46,Adelie,Dream,41.1,19.0,182.0,3425.0,MALE
47,47,Adelie,Dream,37.5,18.9,179.0,2975.0,FEMALE
48,48,Adelie,Dream,36.0,17.9,190.0,3450.0,FEMALE
49,49,Adelie,Dream,42.3,21.2,191.0,4150.0,MALE
50,50,Adelie,Biscoe,39.6,17.7,186.0,3500.0,FEMALE
51,51,Adelie,Biscoe,40.1,18.9,188.0,4300.0,MALE
52,52,Adelie,Biscoe,35.0,17.9,190.0,3450.0,FEMALE
53,53,Adelie,Biscoe,42.0,19.5,200.0,4050.0,MALE
54,54,Adelie,Biscoe,34.5,18.1,187.0,2900.0,FEMALE
55,55,Adelie,Biscoe,41.4,18.6,191.0,3700.0,MALE
56,56,Adelie,Biscoe,39.0,17.5,186.0,3550.0,FEMALE
57,57,Adelie,Biscoe,40.6,18.8,193.0,3800.0,MALE
58,58,Adelie,Biscoe,36.5,16.6,181.0,2850.0,FEMALE
59,59,Adelie,Biscoe,37.6,19.1,194.0,3750.0,MALE
60,60,Adelie,Biscoe,35.7,16.9,185.0,3150.0,FEMALE
61,61,Adelie,Biscoe,41.3,21.1,195.0,4400.0,MALE
62,62,Adelie,Biscoe,37.6,17.0,185.0,3600.0,FEMALE
63,63,Adelie,Biscoe,41.1,18.2,192.0,4050.0,MALE
64,64,Adelie,Biscoe,36.4,17.1,184.0,2850.0,FEMALE
65,65,Adelie,Biscoe,41.6,18.0,192.0,3950.0,MALE
66,66,Adelie,Biscoe,35.5,16.2,195.0,3350.0,FEMALE
67,67,Adelie,Biscoe,41.1,19.1,188.0,4100.0,MALE
68,68,Adelie,Torgersen,35.9,16.6,190.0,3050.0,FEMALE
69,69,Adelie,Torgersen,41.8,19.4,198.0,4450.0,MALE
70,70,Adelie,Torgersen,33.5,19.0,190.0,3600.0,FEMALE
71,71,Adelie,Torgersen,39.7,18.4,190.0,3900.0,MALE
72,72,Adelie,Torgersen,39.6,17.2,196.0,3550.0,FEMALE
73,73,Adelie,Torgersen,45.8,18.9,197.0,4150.0,MALE
74,74,Adelie,Torgersen,35.5,17.5,190.0,3700.0,FEMALE
75,75,Adelie,Torgersen,42.8,18.5,195.0,4250.0,MALE
76,76,Adelie,Torgersen,40.9,16.8,191.0,3700.0,FEMALE
77,77,Adelie,Torgersen,37.2,19.4,184.0,3900.0,MALE
78,78,Adelie,Torgersen,36.2,16.1,187.0,3550.0,FEMALE
79,79,Adelie,Torgersen,42.1,19.1,195.0,4000.0,MALE
80,80,Adelie,Torgersen,34.6,17.2,189.0,3200.0,FEMALE
81,81,Adelie,Torgersen,42.9,17.6,196.0,4700.0,MALE
82,82,Adelie,Torgersen,36.7,18.8,187.0,3800.0,FEMALE
83,83,Adelie,Torgersen,35.1,19.4,193.0,4200.0,MALE
84,84,Adelie,Dream,37.3,17.8,191.0,3350.0,FEMALE
85,85,Adelie,Dream,41.3,20.3,194.0,3550.0,MALE
86,86,Adelie,Dream,36.3,19.5,190.0,3800.0,MALE
87,87,Adelie,Dream,36.9,18.6,189.0,3500.0,FEMALE
88,88,Adelie,Dream,38.3,19.2,189.0,3950.0,MALE
89,89,Adelie,Dream,38.9,18.8,190.0,3600.0,FEMALE
90,90,Adelie,Dream,35.7,18.0,202.0,3550.0,FEMALE
91,91,Adelie,Dream,41.1,18.1,205.0,4300.0,MALE
92,92,Adelie,Dream,34.0,17.1,185.0,3400.0,FEMALE
93,93,Adelie,Dream,39.6,18.1,186.0,4450.0,MALE
94,94,Adelie,Dream,36.2,17.3,187.0,3300.0,FEMALE
95,95,Adelie,Dream,40.8,18.9,208.0,4300.0,MALE
96,96,Adelie,Dream,38.1,18.6,190.0,3700.0,FEMALE
97,97,Adelie,Dream,40.3,18.5,196.0,4350.0,MALE
98,98,Adelie,Dream,33.1,16.1,178.0,2900.0,FEMALE
99,99,Adelie,Dream,43.2,18.5,192.0,4100.0,MALE
100,100,Adelie,Biscoe,35.0,17.9,192.0,3725.0,FEMALE
101,101,Adelie,Biscoe,41.0,20.0,203.0,4725.0,MALE
102,102,Adelie,Biscoe,37.7,16.0,183.0,3075.0,FEMALE
103,103,Adelie,Biscoe,37.8,20.0,190.0,4250.0,MALE
104,104,Adelie,Biscoe,37.9,18.6,193.0,2925.0,FEMALE
105,105,Adelie,Biscoe,39.7,18.9,184.0,3550.0,MALE
106,106,Adelie,Biscoe,38.6,17.2,199.0,3750.0,FEMALE
107,107,Adelie,Biscoe,38.2,20.0,190.0,3900.0,MALE
108,108,Adelie,Biscoe,38.1,17.0,181.0,3175.0,FEMALE
